# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.575000e+01
# lRef        : 1.000000e+00
# Aref        : 1.700000e-01
# CofR        : (3.920000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
65            	7.856577e-04	9.448888e-02	-4.141028e-03	-1.284856e-03	-2.856172e-03
66            	8.674569e-04	9.436717e-02	-2.922061e-03	-5.935734e-04	-2.328487e-03
67            	6.856460e-04	9.424816e-02	-2.294030e-03	-4.613693e-04	-1.832661e-03
68            	3.939486e-04	9.420678e-02	-2.439284e-03	-8.256935e-04	-1.613591e-03
69            	1.235817e-04	9.424542e-02	-3.313643e-03	-1.533240e-03	-1.780403e-03
70            	4.014219e-05	9.426731e-02	-4.338520e-03	-2.129118e-03	-2.209402e-03
71            	1.540819e-04	9.420398e-02	-4.668491e-03	-2.180163e-03	-2.488327e-03
72            	3.489830e-04	9.406603e-02	-4.290954e-03	-1.796494e-03	-2.494460e-03
73            	4.978273e-04	9.391165e-02	-3.465454e-03	-1.234900e-03	-2.230554e-03
74            	5.402230e-04	9.382920e-02	-2.693385e-03	-8.064696e-04	-1.886916e-03
75            	4.643397e-04	9.386109e-02	-2.335519e-03	-7.034198e-04	-1.632099e-03
76            	3.425608e-04	9.397316e-02	-2.484991e-03	-8.999346e-04	-1.585056e-03
77            	2.391943e-04	9.408600e-02	-2.879536e-03	-1.200574e-03	-1.678963e-03
78            	2.091065e-04	9.411648e-02	-3.269960e-03	-1.425874e-03	-1.844087e-03
79            	2.519636e-04	9.402377e-02	-3.350209e-03	-1.423141e-03	-1.927068e-03
80            	3.363910e-04	9.386771e-02	-3.113596e-03	-1.220407e-03	-1.893189e-03
81            	3.937708e-04	9.374179e-02	-2.718683e-03	-9.655709e-04	-1.753112e-03
82            	4.066545e-04	9.370336e-02	-2.395704e-03	-7.911973e-04	-1.604506e-03
83            	3.667430e-04	9.376633e-02	-2.241679e-03	-7.540967e-04	-1.487583e-03
84            	3.130461e-04	9.387607e-02	-2.306785e-03	-8.403462e-04	-1.466438e-03
85            	2.696712e-04	9.396184e-02	-2.425279e-03	-9.429685e-04	-1.482311e-03
86            	2.588027e-04	9.398408e-02	-2.536385e-03	-1.009390e-03	-1.526995e-03
87            	2.707318e-04	9.391751e-02	-2.518548e-03	-9.885422e-04	-1.530006e-03
88            	2.972620e-04	9.380935e-02	-2.407626e-03	-9.065509e-04	-1.501075e-03
89            	3.073067e-04	9.372884e-02	-2.243210e-03	-8.142985e-04	-1.428912e-03
90            	3.035221e-04	9.371196e-02	-2.130439e-03	-7.616973e-04	-1.368742e-03
91            	2.812874e-04	9.376106e-02	-2.061081e-03	-7.492530e-04	-1.311828e-03
92            	2.623257e-04	9.383352e-02	-2.062008e-03	-7.686783e-04	-1.293330e-03
93            	2.458216e-04	9.388747e-02	-2.050801e-03	-7.795790e-04	-1.271222e-03
94            	2.435729e-04	9.389589e-02	-2.045465e-03	-7.791597e-04	-1.266305e-03
95            	2.424793e-04	9.385388e-02	-1.995661e-03	-7.553513e-04	-1.240310e-03
96            	2.459038e-04	9.379517e-02	-1.953089e-03	-7.306408e-04	-1.222448e-03
97            	2.407014e-04	9.375122e-02	-1.884748e-03	-7.016724e-04	-1.183075e-03
98            	2.363063e-04	9.374286e-02	-1.838180e-03	-6.827835e-04	-1.155396e-03
99            	2.256080e-04	9.376795e-02	-1.774720e-03	-6.617520e-04	-1.112968e-03
100           	2.203416e-04	9.380502e-02	-1.736930e-03	-6.481234e-04	-1.088807e-03
101           	2.119700e-04	9.383418e-02	-1.680784e-03	-6.284222e-04	-1.052362e-03
102           	2.097645e-04	9.383468e-02	-1.656981e-03	-6.187260e-04	-1.038255e-03
103           	2.022960e-04	9.381122e-02	-1.620552e-03	-6.079798e-04	-1.012572e-03
104           	1.992049e-04	9.378063e-02	-1.604460e-03	-6.030250e-04	-1.001435e-03
105           	1.911063e-04	9.375726e-02	-1.557836e-03	-5.878116e-04	-9.700242e-04
106           	1.881835e-04	9.375234e-02	-1.521116e-03	-5.723745e-04	-9.487415e-04
107           	1.812645e-04	9.376313e-02	-1.460164e-03	-5.488176e-04	-9.113466e-04
108           	1.795955e-04	9.377849e-02	-1.422059e-03	-5.314340e-04	-8.906250e-04
109           	1.734367e-04	9.378824e-02	-1.365795e-03	-5.094609e-04	-8.563344e-04
110           	1.709296e-04	9.378327e-02	-1.345561e-03	-5.018508e-04	-8.437101e-04
111           	1.622828e-04	9.376876e-02	-1.313511e-03	-4.944726e-04	-8.190383e-04
112           	1.583737e-04	9.375308e-02	-1.301174e-03	-4.922131e-04	-8.089605e-04
113           	1.505491e-04	9.374282e-02	-1.258428e-03	-4.786648e-04	-7.797630e-04
114           	1.487986e-04	9.374137e-02	-1.229100e-03	-4.657511e-04	-7.633484e-04
115           	1.430511e-04	9.374510e-02	-1.176689e-03	-4.452934e-04	-7.313955e-04
116           	1.420050e-04	9.374818e-02	-1.147170e-03	-4.315801e-04	-7.155900e-04
117           	1.355994e-04	9.374526e-02	-1.101238e-03	-4.150195e-04	-6.862183e-04
118           	1.328433e-04	9.373596e-02	-1.086264e-03	-4.102885e-04	-6.759751e-04
119           	1.244460e-04	9.372592e-02	-1.056847e-03	-4.039775e-04	-6.528696e-04
120           	1.214041e-04	9.371870e-02	-1.046198e-03	-4.016947e-04	-6.445030e-04
121           	1.149570e-04	9.371635e-02	-1.005673e-03	-3.878793e-04	-6.177933e-04
122           	1.143299e-04	9.371744e-02	-9.823906e-04	-3.768654e-04	-6.055252e-04
123           	1.090157e-04	9.371810e-02	-9.381017e-04	-3.600352e-04	-5.780665e-04
124           	1.078044e-04	9.371482e-02	-9.187111e-04	-3.515512e-04	-5.671599e-04
125           	1.010131e-04	9.370659e-02	-8.834667e-04	-3.407203e-04	-5.427465e-04
126           	9.832931e-05	9.369518e-02	-8.750288e-04	-3.391851e-04	-5.358437e-04
127           	9.140574e-05	9.368847e-02	-8.472209e-04	-3.322047e-04	-5.150162e-04
128           	9.001195e-05	9.368592e-02	-8.371435e-04	-3.285598e-04	-5.085837e-04
129           	8.468035e-05	9.368676e-02	-8.014418e-04	-3.160405e-04	-4.854012e-04
130           	8.463216e-05	9.368865e-02	-7.843095e-04	-3.075226e-04	-4.767869e-04
131           	7.978170e-05	9.368758e-02	-7.445425e-04	-2.924896e-04	-4.520530e-04
132           	7.892474e-05	9.368235e-02	-7.326155e-04	-2.873830e-04	-4.452325e-04
133           	7.254486e-05	9.367397e-02	-7.055891e-04	-2.802497e-04	-4.253394e-04
134           	7.077630e-05	9.366583e-02	-7.027831e-04	-2.806152e-04	-4.221678e-04
135           	6.486332e-05	9.366054e-02	-6.776970e-04	-2.739852e-04	-4.037118e-04
136           	6.470711e-05	9.365942e-02	-6.703834e-04	-2.704846e-04	-3.998988e-04
137           	6.053551e-05	9.366084e-02	-6.386282e-04	-2.587786e-04	-3.798496e-04
138           	6.123130e-05	9.366226e-02	-6.270367e-04	-2.522870e-04	-3.747496e-04
139           	5.669921e-05	9.366095e-02	-5.960259e-04	-2.413137e-04	-3.547122e-04
140           	5.630702e-05	9.365613e-02	-5.891469e-04	-2.382664e-04	-3.508805e-04
141           	5.082463e-05	9.364987e-02	-5.663271e-04	-2.323389e-04	-3.339882e-04
142           	5.032447e-05	9.364449e-02	-5.660618e-04	-2.327064e-04	-3.333554e-04
143           	4.568041e-05	9.364139e-02	-5.422210e-04	-2.254301e-04	-3.167909e-04
144           	4.646893e-05	9.364123e-02	-5.387949e-04	-2.229285e-04	-3.158664e-04
145           	4.283031e-05	9.364219e-02	-5.121153e-04	-2.132273e-04	-2.988879e-04
146           	4.396271e-05	9.364260e-02	-5.051055e-04	-2.085900e-04	-2.965155e-04
147           	3.989743e-05	9.364055e-02	-4.793724e-04	-1.997888e-04	-2.795837e-04
148           	4.020392e-05	9.363690e-02	-4.786011e-04	-1.990967e-04	-2.795045e-04
149           	3.574140e-05	9.363289e-02	-4.583689e-04	-1.934431e-04	-2.649259e-04
150           	3.638300e-05	9.363038e-02	-4.594736e-04	-1.933538e-04	-2.661198e-04
151           	3.275975e-05	9.362946e-02	-4.377188e-04	-1.860997e-04	-2.516192e-04
152           	3.422841e-05	9.362980e-02	-4.361516e-04	-1.838474e-04	-2.523042e-04
153           	3.100028e-05	9.362976e-02	-4.128027e-04	-1.754011e-04	-2.374016e-04
154           	3.235631e-05	9.362886e-02	-4.117654e-04	-1.735264e-04	-2.382390e-04
155           	2.875777e-05	9.362674e-02	-3.906822e-04	-1.665833e-04	-2.240989e-04
156           	2.983848e-05	9.362452e-02	-3.923683e-04	-1.663457e-04	-2.260226e-04
157           	2.629215e-05	9.362268e-02	-3.732140e-04	-1.603148e-04	-2.128991e-04
158           	2.774680e-05	9.362196e-02	-3.753959e-04	-1.599511e-04	-2.154447e-04
159           	2.469248e-05	9.362177e-02	-3.555876e-04	-1.531013e-04	-2.024863e-04
160           	2.651077e-05	9.362184e-02	-3.567765e-04	-1.518775e-04	-2.048990e-04
161           	2.356105e-05	9.362134e-02	-3.366290e-04	-1.447535e-04	-1.918756e-04
162           	2.526326e-05	9.362046e-02	-3.384710e-04	-1.439722e-04	-1.944988e-04
163           	2.214387e-05	9.361917e-02	-3.197720e-04	-1.377421e-04	-1.820299e-04
164           	2.378639e-05	9.361817e-02	-3.231134e-04	-1.377703e-04	-1.853431e-04
165           	2.078875e-05	9.361746e-02	-3.053343e-04	-1.318784e-04	-1.734559e-04
166           	2.267851e-05	9.361733e-02	-3.087514e-04	-1.316972e-04	-1.770542e-04
167           	1.993056e-05	9.361724e-02	-2.905782e-04	-1.253585e-04	-1.652196e-04
168           	2.196306e-05	9.361719e-02	-2.936216e-04	-1.248477e-04	-1.687738e-04
169           	1.922492e-05	9.361677e-02	-2.755969e-04	-1.185735e-04	-1.570234e-04
170           	2.118448e-05	9.361628e-02	-2.793163e-04	-1.184737e-04	-1.608427e-04
171           	1.838036e-05	9.361564e-02	-2.622302e-04	-1.127347e-04	-1.494955e-04
172           	2.034759e-05	9.361529e-02	-2.667088e-04	-1.130068e-04	-1.537020e-04
173           	1.763330e-05	9.361505e-02	-2.499890e-04	-1.073612e-04	-1.426278e-04
174           	1.972974e-05	9.361510e-02	-2.544335e-04	-1.074870e-04	-1.469465e-04
175           	1.712162e-05	9.361504e-02	-2.375891e-04	-1.016729e-04	-1.359162e-04
176           	1.926242e-05	9.361504e-02	-2.420507e-04	-1.017630e-04	-1.402878e-04
177           	1.663676e-05	9.361478e-02	-2.255236e-04	-9.612504e-05	-1.293986e-04
178           	1.873475e-05	9.361460e-02	-2.305094e-04	-9.651993e-05	-1.339894e-04
179           	1.608140e-05	9.361433e-02	-2.145316e-04	-9.118439e-05	-1.233472e-04
180           	1.819321e-05	9.361430e-02	-2.199017e-04	-9.175762e-05	-1.281440e-04
181           	1.558712e-05	9.361424e-02	-2.041068e-04	-8.646626e-05	-1.176405e-04
182           	1.775565e-05	9.361437e-02	-2.095214e-04	-8.700507e-05	-1.225164e-04
183           	1.516253e-05	9.361431e-02	-1.942641e-04	-8.196952e-05	-1.122946e-04
184           	1.735855e-05	9.361436e-02	-1.993259e-04	-8.230441e-05	-1.170215e-04
185           	1.476035e-05	9.361420e-02	-1.840157e-04	-7.724749e-05	-1.067682e-04
186           	1.690391e-05	9.361413e-02	-1.897584e-04	-7.797527e-05	-1.117831e-04
187           	1.430137e-05	9.361408e-02	-1.747936e-04	-7.309541e-05	-1.016982e-04
188           	1.645238e-05	9.361413e-02	-1.808745e-04	-7.398487e-05	-1.068896e-04
189           	1.385880e-05	9.361418e-02	-1.661504e-04	-6.921640e-05	-9.693400e-05
190           	1.602449e-05	9.361429e-02	-1.723447e-04	-7.014786e-05	-1.021968e-04
191           	1.344574e-05	9.361437e-02	-1.576954e-04	-6.540197e-05	-9.229344e-05
192           	1.561759e-05	9.361448e-02	-1.639504e-04	-6.635762e-05	-9.759281e-05
193           	1.303107e-05	9.361476e-02	-1.500702e-04	-6.200404e-05	-8.806618e-05
194           	1.517220e-05	9.361469e-02	-1.560120e-04	-6.283378e-05	-9.317819e-05
195           	1.258199e-05	9.361464e-02	-1.413947e-04	-5.811536e-05	-8.327935e-05
196           	1.472187e-05	9.361480e-02	-1.482004e-04	-5.937835e-05	-8.882210e-05
197           	1.213935e-05	9.361511e-02	-1.349890e-04	-5.535517e-05	-7.963388e-05
198           	1.423402e-05	9.361515e-02	-1.417063e-04	-5.661912e-05	-8.508716e-05
199           	1.166056e-05	9.361528e-02	-1.281560e-04	-5.241742e-05	-7.573854e-05
200           	1.378218e-05	9.361522e-02	-1.345016e-04	-5.346864e-05	-8.103299e-05
201           	1.123440e-05	9.361539e-02	-1.208822e-04	-4.920669e-05	-7.167550e-05
202           	1.336124e-05	9.361545e-02	-1.275727e-04	-5.042511e-05	-7.714759e-05
203           	1.077580e-05	9.361569e-02	-1.144360e-04	-4.644219e-05	-6.799379e-05
204           	1.286572e-05	9.361576e-02	-1.216032e-04	-4.793590e-05	-7.366735e-05
205           	1.026510e-05	9.361593e-02	-1.087654e-04	-4.411760e-05	-6.464779e-05
206           	1.237128e-05	9.361597e-02	-1.160091e-04	-4.563326e-05	-7.037581e-05
207           	9.800723e-06	9.361614e-02	-1.030719e-04	-4.173520e-05	-6.133665e-05
208           	1.193226e-05	9.361624e-02	-1.102108e-04	-4.317316e-05	-6.703768e-05
209           	9.366626e-06	9.361645e-02	-9.728401e-05	-3.927538e-05	-5.800863e-05
210           	1.148197e-05	9.361657e-02	-1.045861e-04	-4.081109e-05	-6.377504e-05
211           	8.900564e-06	9.361674e-02	-9.198054e-05	-3.708971e-05	-5.489084e-05
212           	1.099948e-05	9.361682e-02	-9.956311e-05	-3.878207e-05	-6.078104e-05
213           	8.504399e-06	9.361709e-02	-8.825904e-05	-3.562512e-05	-5.263392e-05
214           	1.050725e-05	9.361688e-02	-9.483844e-05	-3.691197e-05	-5.792647e-05
215           	7.878298e-06	9.361690e-02	-8.160352e-05	-3.292346e-05	-4.868006e-05
216           	9.978636e-06	9.361686e-02	-8.932371e-05	-3.468322e-05	-5.464049e-05
217           	7.588304e-06	9.361774e-02	-7.873687e-05	-3.178013e-05	-4.695674e-05
218           	9.702616e-06	9.361801e-02	-8.635045e-05	-3.347261e-05	-5.287784e-05
219           	7.206823e-06	9.361809e-02	-7.487728e-05	-3.023182e-05	-4.464546e-05
220           	9.103677e-06	9.361744e-02	-8.120030e-05	-3.149648e-05	-4.970383e-05
221           	6.641208e-06	9.361784e-02	-6.969013e-05	-2.820386e-05	-4.148627e-05
222           	8.677082e-06	9.361775e-02	-7.674998e-05	-2.969791e-05	-4.705207e-05
223           	6.269628e-06	9.361850e-02	-6.577902e-05	-2.661988e-05	-3.915914e-05
224           	8.313695e-06	9.361837e-02	-7.329051e-05	-2.833156e-05	-4.495895e-05
225           	5.921136e-06	9.361887e-02	-6.275721e-05	-2.545747e-05	-3.729974e-05
226           	7.847401e-06	9.361856e-02	-6.995682e-05	-2.713101e-05	-4.282581e-05
227           	5.523478e-06	9.361901e-02	-5.981232e-05	-2.438268e-05	-3.542964e-05
228           	7.390771e-06	9.361880e-02	-6.657653e-05	-2.589750e-05	-4.067904e-05
229           	5.143778e-06	9.361933e-02	-5.645364e-05	-2.308304e-05	-3.337060e-05
230           	7.039192e-06	9.361918e-02	-6.299932e-05	-2.446047e-05	-3.853885e-05
231           	4.823653e-06	9.361972e-02	-5.283139e-05	-2.159204e-05	-3.123935e-05
232           	6.732524e-06	9.361953e-02	-5.956554e-05	-2.305024e-05	-3.651529e-05
233           	4.510794e-06	9.362003e-02	-4.976427e-05	-2.037134e-05	-2.939293e-05
234           	6.368446e-06	9.361982e-02	-5.673908e-05	-2.200110e-05	-3.473799e-05
235           	4.158417e-06	9.362027e-02	-4.736764e-05	-1.952540e-05	-2.784224e-05
236           	5.975056e-06	9.362004e-02	-5.427819e-05	-2.116404e-05	-3.311415e-05
237           	3.812781e-06	9.362047e-02	-4.504466e-05	-1.870955e-05	-2.633511e-05
238           	5.635141e-06	9.362025e-02	-5.174044e-05	-2.023508e-05	-3.150536e-05
239           	3.531991e-06	9.362069e-02	-4.251298e-05	-1.772450e-05	-2.478848e-05
240           	5.373555e-06	9.362050e-02	-4.908065e-05	-1.916677e-05	-2.991388e-05
241           	3.300793e-06	9.362096e-02	-3.991265e-05	-1.665553e-05	-2.325712e-05
242           	5.138345e-06	9.362077e-02	-4.652046e-05	-1.812189e-05	-2.839858e-05
243           	3.061843e-06	9.362121e-02	-3.753430e-05	-1.570531e-05	-2.182899e-05
244           	4.872474e-06	9.362099e-02	-4.426873e-05	-1.726189e-05	-2.700684e-05
245           	2.793529e-06	9.362138e-02	-3.551544e-05	-1.496419e-05	-2.055125e-05
246           	4.182020e-06	9.362096e-02	-4.085971e-05	-1.624784e-05	-2.461188e-05
247           	2.611971e-06	9.362146e-02	-3.388965e-05	-1.433285e-05	-1.955679e-05
248           	4.879883e-06	9.362120e-02	-4.247989e-05	-1.636006e-05	-2.611983e-05
249           	3.324455e-06	9.362164e-02	-3.622120e-05	-1.478614e-05	-2.143505e-05
250           	4.126214e-06	9.362129e-02	-3.916156e-05	-1.545456e-05	-2.370699e-05
251           	1.142524e-06	9.362181e-02	-2.646627e-05	-1.209061e-05	-1.437566e-05
252           	2.542035e-06	9.362151e-02	-3.156548e-05	-1.324071e-05	-1.832478e-05
253           	1.776033e-06	9.362219e-02	-2.798837e-05	-1.221815e-05	-1.577022e-05
254           	4.675681e-06	9.362179e-02	-3.841402e-05	-1.453133e-05	-2.388269e-05
255           	3.187662e-06	9.362208e-02	-3.223695e-05	-1.293081e-05	-1.930614e-05
256           	3.876718e-06	9.362139e-02	-3.453614e-05	-1.339135e-05	-2.114479e-05
257           	1.688122e-06	9.362183e-02	-2.553497e-05	-1.107937e-05	-1.445561e-05
258           	2.466173e-06	9.362144e-02	-2.826363e-05	-1.166564e-05	-1.659799e-05
259           	3.279828e-07	9.362236e-02	-1.830021e-05	-8.822124e-06	-9.478089e-06
260           	2.255073e-06	9.362208e-02	-2.559735e-05	-1.054360e-05	-1.505375e-05
261           	1.702089e-06	9.362262e-02	-2.328905e-05	-9.942437e-06	-1.334661e-05
262           	4.545676e-06	9.362182e-02	-3.505667e-05	-1.298266e-05	-2.207401e-05
263           	2.777305e-06	9.362205e-02	-2.823571e-05	-1.134055e-05	-1.689516e-05
264           	3.164111e-06	9.362142e-02	-2.974151e-05	-1.170665e-05	-1.803487e-05
265           	8.424504e-07	9.362203e-02	-2.014485e-05	-9.229975e-06	-1.091488e-05
266           	1.660223e-06	9.362178e-02	-2.277560e-05	-9.727578e-06	-1.304802e-05
267           	2.949142e-07	9.362262e-02	-1.660119e-05	-8.005682e-06	-8.595510e-06
268           	1.921098e-06	9.362234e-02	-2.238859e-05	-9.273197e-06	-1.311539e-05
269           	9.736868e-07	9.362287e-02	-1.812558e-05	-8.089103e-06	-1.003648e-05
270           	2.592677e-06	9.362216e-02	-2.418958e-05	-9.502115e-06	-1.468747e-05
271           	1.390367e-06	9.362235e-02	-1.915724e-05	-8.188252e-06	-1.096899e-05
272           	2.713274e-06	9.362152e-02	-2.415216e-05	-9.362804e-06	-1.478935e-05
273           	1.308289e-06	9.362184e-02	-1.828596e-05	-7.834692e-06	-1.045127e-05
274           	2.526327e-06	9.362134e-02	-2.276361e-05	-8.855477e-06	-1.390813e-05
275           	1.075391e-06	9.362204e-02	-1.661654e-05	-7.232879e-06	-9.383662e-06
276           	2.268050e-06	9.362183e-02	-2.097948e-05	-8.221691e-06	-1.275779e-05
277           	7.967559e-07	9.362264e-02	-1.484494e-05	-6.625714e-06	-8.219226e-06
278           	1.992577e-06	9.362235e-02	-1.939788e-05	-7.706365e-06	-1.169152e-05
279           	5.709384e-07	9.362293e-02	-1.365743e-05	-6.257777e-06	-7.399654e-06
280           	1.857556e-06	9.362235e-02	-1.868596e-05	-7.485426e-06	-1.120054e-05
281           	5.476655e-07	9.362267e-02	-1.336645e-05	-6.135558e-06	-7.230889e-06
282           	1.928500e-06	9.362192e-02	-1.860849e-05	-7.375744e-06	-1.123274e-05
283           	6.632492e-07	9.362220e-02	-1.323903e-05	-5.956266e-06	-7.282764e-06
284           	2.027813e-06	9.362154e-02	-1.823337e-05	-7.088873e-06	-1.114450e-05
285           	6.977142e-07	9.362199e-02	-1.255826e-05	-5.581414e-06	-6.976842e-06
286           	1.978432e-06	9.362149e-02	-1.733556e-05	-6.689348e-06	-1.064621e-05
287           	5.779351e-07	9.362208e-02	-1.161147e-05	-5.227799e-06	-6.383669e-06
288           	1.886140e-06	9.362159e-02	-1.671190e-05	-6.469811e-06	-1.024209e-05
289           	4.395545e-07	9.362216e-02	-1.098400e-05	-5.052447e-06	-5.931556e-06
290           	1.741926e-06	9.362170e-02	-1.605405e-05	-6.285097e-06	-9.768950e-06
291           	3.437536e-07	9.362229e-02	-1.032254e-05	-4.817518e-06	-5.505025e-06
292           	1.721659e-06	9.362180e-02	-1.540668e-05	-5.981681e-06	-9.425000e-06
293           	4.053461e-07	9.362225e-02	-9.744276e-06	-4.466792e-06	-5.277484e-06
294           	1.783913e-06	9.362178e-02	-1.471657e-05	-5.574374e-06	-9.142201e-06
